#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
170,Timor-Leste,"22,861",+1,130 ,,"22,721",+7,10,,"16,762",95,"262,019","192,110","1,363,898 ",Asia
171,Cayman Islands,"21,755",,26 ,,"8,553",,"13,176",1,"324,126",387,"222,773","3,319,075","67,119 ",North America
172,Burkina Faso,"20,853",,382 ,,"20,439",,32,,950,17,"248,995","11,349","21,940,430 ",Africa
173,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,732",33,,,"6,767,248 ",North America
174,Gibraltar,"17,706",,102 ,,"16,579",,"1,025",,"525,822","3,029","534,283","15,866,807","33,673 ",Europe
175,South Sudan,"17,443",,138 ,,"13,514",,"3,791",1,"1,526",12,"378,620","33,121","11,431,325 ",Africa
176,Tajikistan,"17,388",,124 ,,"17,264",,0,,"1,752",12,,,"9,925,345 ",Asia
177,Liechtenstein,"17,126",+21,85 ,,"16,913",+40,128,,"446,851","2,218","102,174","2,665,919","38,326 ",Europe
178,San Marino,"16,186",,114 ,,"15,702",,370,4,"475,220","3,347","149,271","4,382,590","34,060 ",Europe
179,Equatorial Guinea,"15,907",,183 ,,"15,698",,26,5,"10,702",123,"310,972","209,215","1,486,373 ",Africa
180,Djibouti,"15,611",,189 ,,"15,411",,11,,"15,395",186,"303,924","299,725","1,014,010 ",Africa
181,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,941",23,"81,294","16,318","4,981,772 ",Africa
182,Grenada,"14,428",,220 ,,"13,945",,263,4,"127,156","1,939","148,567","1,309,341","113,467 ",North America
183,Solomon Islands,"14,182",,140 ,,"12,763",,"1,279",2,"19,770",195,"5,117","7,133","717,366 ",Australia/Oceania
184,Bermuda,"13,143",,131 ,,"12,719",,293,,"212,460","2,118","866,313","14,004,187","61,861 ",North America
185,Dominica,"12,011",,63 ,,"11,926",,22,,"166,104",871,"187,690","2,595,630","72,310 ",North America
186,Gambia,"11,995",,365 ,,"11,591",,39,,"4,723",144,"155,686","61,305","2,539,515 ",Africa
187,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,209",369,"164,926","2,896,081","56,948 ",North America
188,Yemen,"11,818",,"2,149 ",,"9,009",,660,23,381,69,"265,253","8,552","31,014,835 ",Asia
189,Monaco,"11,632",,54 ,,"11,464",,114,4,"292,658","1,359","54,960","1,382,781","39,746 ",Europe
190,Saint Martin,"10,279",,63 ,,"1,399",,"8,817",7,"257,878","1,581","112,382","2,819,418","39,860 ",North America
191,Sint Maarten,"10,018",,86 ,,"9,859",,73,10,"228,946","1,965","62,056","1,418,196","43,757 ",North America
192,Tonga,"9,838",+39,11 ,,"8,721",+294,"1,106",,"91,207",102,"423,475","3,926,009","107,864 ",Australia/Oceania
193,Eritrea,"9,733",,103 ,,"9,629",,1,,"2,677",28,"23,693","6,518","3,635,280 ",Africa
194,Caribbean Netherlands,"9,711",,34 ,,"9,579",,98,,"364,199","1,275","30,126","1,129,838","26,664 ",North America
195,Niger,"8,916",,309 ,,"8,508",,99,1,346,12,"249,437","9,671","25,791,706 ",Africa
196,Guinea-Bissau,"8,186",,171 ,,"7,528",,487,6,"3,989",83,"133,360","64,985","2,052,178 ",Africa
197,Comoros,"8,100",,160 ,,"7,933",,7,,"8,969",177,,,"903,127 ",Africa
198,Sierra Leone,"7,681",,125 ,,N/A,N/A,N/A,,929,15,"259,958","31,432","8,270,591 ",Africa
199,Antigua and Barbuda,"7,571",,135 ,,"7,402",,34,1,"76,169","1,358","18,901","190,157","99,397 ",North America
